type,color,extensions,tm_scope,ace_mode,language_id,language,aliases,codemirror_mode,codemirror_mime_type,interpreters,group,filenames,wrap,fs_name,searchable
programming,#6c616e,"['.dylan', '.dyl', '.intr', '.lid']",source.dylan,text,91,Dylan,,dylan,text/x-dylan,,,,,,
programming,#ccce35,['.e'],none,text,92,E,,,,['rune'],,,,,
data,,"['.eml', '.mbox']",text.eml.basic,text,529653389,E-mail,"['email', 'eml', 'mail', 'mbox']",mbox,application/mbox,,,,,,
data,,['.ebnf'],source.ebnf,text,430,EBNF,,ebnf,text/x-ebnf,,,,,,
programming,#8a1267,"['.ecl', '.eclxml']",source.ecl,text,93,ECL,,ecl,text/x-ecl,,,,,,
programming,#001d9d,['.ecl'],source.prolog.eclipse,prolog,94,ECLiPSe,,,,,Prolog,,,,
markup,#a91e50,"['.ejs', '.ect', '.ejs.t', '.jst']",text.html.js,ejs,95,EJS,,,,,,,,,
programming,#a78649,['.eq'],source.cs,csharp,96,EQ,,clike,text/x-csharp,,,,,,
data,,"['.sch', '.brd']",text.xml,xml,97,Eagle,,xml,text/xml,,,,,,
programming,#2af0ff,,source.earthfile,text,963512632,Earthly,['Earthfile'],,,,,['Earthfile'],,,
data,#069406,['.eb'],source.python,python,342840477,Easybuild,,python,text/x-python,,Python,,,,
data,#913960,['.epj'],source.json,json,98,Ecere Projects,,javascript,application/json,,JavaScript,,,,
markup,#eb8131,['.html'],text.html.ecmarkup,html,844766630,Ecmarkup,['ecmarkdown'],htmlmixed,text/html,,HTML,,,,
markup,#0dffe0,['.edge'],text.html.edge,html,460509620,Edge,,,,,,,,,
programming,#31A7FF,"['.edgeql', '.esdl']",source.edgeql,text,925235833,EdgeQL,['esdl'],,,,,,,,
data,#fff1f2,['.editorconfig'],source.editorconfig,ini,96139566,EditorConfig,['editor-config'],properties,text/x-properties,,INI,['.editorconfig'],,,
data,,['.edc'],source.c++,c_cpp,342840478,Edje Data Collection,,clike,text/x-c++src,,,,,,
programming,#4d6977,['.e'],source.eiffel,eiffel,99,Eiffel,,eiffel,text/x-eiffel,,,,,,
programming,#6e4a7e,"['.ex', '.exs']",source.elixir,elixir,100,Elixir,,,,['elixir'],,['mix.lock'],,,
programming,#60B5CC,['.elm'],source.elm,elm,101,Elm,,elm,text/x-elm,,,,,,
programming,#55BB55,['.elv'],source.elvish,text,570996448,Elvish,,,,['elvish'],,,,,
programming,#55BB55,,source.elvish-transcript,text,452025714,Elvish Transcript,,,,,Elvish,,,,
programming,#c065db,"['.el', '.emacs', '.emacs.desktop']",source.emacs.lisp,lisp,102,Emacs Lisp,"['elisp', 'emacs']",commonlisp,text/x-common-lisp,,,"['.abbrev_defs', '.emacs', '.emacs.desktop', '.gnus', '.spacemacs', '.viper', 'Cask', 'Project.ede', '_emacs', 'abbrev_defs']",,,
programming,#FFF4F3,"['.em', '.emberscript']",source.coffee,coffee,103,EmberScript,,coffeescript,text/x-coffeescript,,,,,,
programming,#B83998,"['.erl', '.app', '.app.src', '.es', '.escript', '.hrl', '.xrl', '.yrl']",source.erlang,erlang,104,Erlang,,erlang,text/x-erlang,['escript'],,"['Emakefile', 'rebar.config', 'rebar.config.lock', 'rebar.lock']",,,
programming,#FF790B,"['.e', '.ex']",source.euphoria,text,880693982,Euphoria,,,,"['eui', 'euiw']",,,,,
programming,#b845fc,"['.fs', '.fsi', '.fsx']",source.fsharp,text,105,F#,['fsharp'],mllike,text/x-fsharp,,,,,,
programming,#572e30,"['.fst', '.fsti']",source.fstar,text,336943375,F*,['fstar'],,,,,,,Fstar,
data,#FFDDBB,['.flf'],source.figfont,text,686129783,FIGlet Font,['FIGfont'],,,,,,,,
programming,#2f632f,['.fir'],source.firrtl,text,906694254,FIRRTL,,,,,,,,,
programming,#88ccff,"['.fx', '.flux']",none,text,106,FLUX,,,,,,,,,
programming,#636746,['.factor'],source.factor,text,108,Factor,,factor,text/x-factor,,,"['.factor-boot-rc', '.factor-rc']",,,
programming,#7b9db4,"['.fy', '.fancypack']",source.fancy,text,109,Fancy,,,,,,['Fakefile'],,,
programming,#14253c,['.fan'],source.fan,text,110,Fantom,,,,,,,,,
programming,#c37240,['.dsp'],source.faust,text,622529198,Faust,,,,,,,,,
programming,#fff3d7,['.fnl'],source.fnl,text,239946126,Fennel,,,,['fennel'],,,,,
programming,#F6B900,['.f'],none,text,111,Filebench WML,,,,,,,,,
programming,,['.fs'],none,text,112,Filterscript,,,,,RenderScript,,,,
programming,#ffcc33,['.ftl'],source.ftl,text,206353404,Fluent,,,,,,,,,
data,,"['.for', '.eam.fs']",none,text,113,Formatted,,,,,,,,,
programming,#341708,"['.fth', '.4th', '.f', '.for', '.forth', '.fr', '.frt', '.fs']",source.forth,forth,114,Forth,,forth,text/x-forth,,,,,,
programming,#4d41b1,"['.f', '.f77', '.for', '.fpp']",source.fortran,text,107,Fortran,,fortran,text/x-fortran,,Fortran,,,,
programming,#4d41b1,"['.f90', '.f03', '.f08', '.f95']",source.fortran.modern,text,761352333,Fortran Free Form,,fortran,text/x-fortran,,Fortran,,,,
programming,#141AC9,"['.bi', '.bas']",source.vbnet,text,472896659,FreeBASIC,['fb'],vb,text/x-vb,,,,,,
programming,#0050b2,['.ftl'],text.html.ftl,ftl,115,FreeMarker,['ftl'],,,,,,,,
programming,#00cafe,['.fr'],source.haskell,haskell,116,Frege,,,,,,,,,
programming,#5f021f,['.fut'],source.futhark,text,97358117,Futhark,,,,,,,,,
programming,#D08CF2,"['.g', '.cnc', '.gco', '.gcode']",source.gcode,gcode,117,G-code,,,,,,,,,
programming,#FFC766,['.gaml'],none,text,290345951,GAML,,,,,,,,,
programming,#f49a22,['.gms'],none,text,118,GAMS,,,,,,,,,
programming,#0000cc,"['.g', '.gap', '.gd', '.gi', '.tst']",source.gap,text,119,GAP,,,,,,,,,
programming,#FFCFAB,['.md'],source.lisp,lisp,121,GCC Machine Description,,commonlisp,text/x-common-lisp,,,,,,
programming,,"['.gdb', '.gdbinit']",source.gdb,text,122,GDB,,,,,,,,,
programming,#355570,['.gd'],source.gdscript,text,123,GDScript,,,,,,,,,
data,#003058,['.ged'],source.gedcom,text,459577965,GEDCOM,,,,,,,,,
programming,#5686a5,"['.glsl', '.fp', '.frag', '.frg', '.fs', '.fsh', '.fshader', '.geo', '.geom', '.glslf', '.glslv', '.gs', '.gshader', '.rchit', '.rmiss', '.shader', '.tesc', '.tese', '.vert', '.vrx', '.vs', '.vsh', '.vshader']",source.glsl,glsl,124,GLSL,,,,,,,,,
data,,"['.gn', '.gni']",source.gn,python,302957008,GN,,python,text/x-python,['gn'],,['.gn'],,,
programming,#FF6800,"['.gsc', '.csc', '.gsh']",source.gsc,c_cpp,257856279,GSC,,clike,text/x-csrc,,,,,,
programming,#71b417,['.gml'],source.c++,c_cpp,125,Game Maker Language,,clike,text/x-c++src,,,,,,
data,#701516,,source.gemfile-lock,text,907065713,Gemfile.lock,,,,,,['Gemfile.lock'],,,False
prose,#ff6900,['.gmi'],source.gemini,text,310828396,Gemini,['gemtext'],,,,,,True,,
programming,#63408e,['.4gl'],source.genero-4gl,text,986054050,Genero 4gl,,,,,,,,,
